measured_on,ac_current__758,ac_power_1__767,ac_power__752,ac_volts__757,das_battery_voltage__769,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_2__761,poa_irradiance__750,system_id
2018-10-12 03:50:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:51:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:52:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:53:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:54:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:55:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:56:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:57:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:58:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:59:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:00:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:01:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:02:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:03:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:04:00,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,50
2018-10-12 04:05:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:06:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:07:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:08:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:09:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:10:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:11:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:12:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:13:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:14:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:15:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:16:00,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,50
2018-10-12 04:17:00,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,50
2018-10-12 04:18:00,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,50
2018-10-12 04:19:00,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,50
2018-10-12 04:20:00,0.0,,,0.0,,,0.0,,0.0,,,,,,50
2018-10-12 04:21:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:22:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:23:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:24:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:25:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:26:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:27:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 04:28:00,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,50
2018-10-12 04:29:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:30:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 04:31:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
